Sample1	Sample2	Sample3	Sample4	Sample5
TSPAN6	12.671446	97.67079	32.358155	24.368303	16.302435
TNMD	0.0217682	0.093324	0	0.0193216	0
DPM1	24.11202	43.36409	39.22883	58.51814	40.86585
SCYL3	5.463789	5.702476	5.623897262236	6.099211	6.006733
C1orf112	0.7596539	2.069194	3.016191	6.879856	2.391328
FGR	8.181402	17.79196	9.2842210553394	6.01571222546	2.8314369
CFH	17.88669	42.2468	70.990602321	116.5439	19.88103
FUCA2	18.83759	59.69523	50.82405	56.66445	28.493565
GCLC	5.92185	7.594477	18.151969	91.450234	10.277615
NFYA	21.68643	16.57714	10.042008	16.67727	21.81616
STPG1	1.083776	4.49344100021997	3.48474	8.03589	3.9672594
NIPAL3	8.804427	14.477298	9.420943	5.079833	10.1147376
LAS1L	9.40325	26.848558	23.633619	21.931684	17.262772
ENPP4	17.7327	16.1381	7.92381	9.22211	11.5372
SEMA3F	8.7177075	19.4225355	10.8983815	15.8224631	7.7090201
CFTR	0.0083945	7.878555	6.752862	0.2557111	10.822478
ANKIB1	4.99353	18.7774	15.3343	16.1103	15.227
CYP51A1	21.3714739	49.820327	40.458931	22.18521	36.7475982
KRIT1	2.82046896	13.25369894373	6.5660229182	11.3489133	11.6352791349711
RAD52	2.0695272	2.094009	1.8933835	4.5388322	4.5244717
BAD	42.982085	58.23691	98.057446	72.264806	100.790566
LAP3	65.72859	72.6304000119421	90.5493	88.582563	30.03229
CD99	38.9504934	82.6608609	148.0187662	69.9457904	44.1361812
HS3ST1	3.54928	6.347438	14.48461	1.809596	1.44817
AOC1	0.322787	56.9356129	0.3645483	15.3964972	0.6098337
WNT16	0.1117444	0.2088603	0.3051572	0.1181835	0.0797465
HECW1	0.878415	0.8406633	0.882205	1.3855203	1.417435
MAD1L1	11.069047	19.870413	18.5952870941708	21.883554	29.576847
LASP1	60.6013000006387	144.664609	85.836606	87.550784	118.105512
SNX11	10.7064	18.5109005	14.112446	13.6736	12.631017
TMEM176A	45.81251	45.65974	83.624303	121.432601	18.01478
M6PR	37.010279	66.228865	38.654505	42.9737433	46.384748
KLHL13	0.64269440140378	2.885402	1.295761352748	0.205865	2.4322220931824
CYP26B1	1.0227264	1.402699	2.299748	1.4706300742702	0.3284778015326
ICA1	14.403385	31.7535136	17.573446	32.13889414	34.032755
DBNDD1	7.2639776	24.686028	18.910371	30.1189265	25.895671
ALS2	3.199245	9.145696	5.877997	13.900452	4.06683
CASP10	9.6645885	12.228611	8.258868	19.748411	5.465038
CFLAR	40.073438	68.843154	84.375891	86.007773	25.413396
TFPI	40.092806	78.063384	81.595623	68.5628010014478	37.1729911447
NDUFAF7	5.441233	7.237567	6.15835	8.382882	3.486363
RBM5	21.2359071	28.07514	26.8662975	14.796803	18.340102
MTMR7	0.2384626	0.4809522	0.4805096	0.4358478	0.638604
SLC7A2	3.23009542	1.703982	10.084828913382	33.87776	3.27116
ARF5	93.039446	231.355	198.068013	166.945576	239.608163
SARM1	1.616824	2.55871	1.765639	0.502864	2.886263
POLDIP2	71.3053	86.7585	58.9647	76.8443	57.7594
PLXND1	60.98978	77.84703	44.581407	22.953414	77.004491
AK2	122.221955	86.830747	81.054088	123.421888	163.206055
CD38	15.20109	1.4099	8.55894	8.33154	1.49752
FKBP4	25.824535	20.041875	30.299253	95.211371	47.693503
KDM1A	25.0427	50.58827	27.34622	49.63363	48.85675
RBM6	35.47545	32.30078	32.539382	25.99788	32.60431
CAMKK1	1.410097	4.874377	2.0623601	2.522033	1.3237665
RECQL	8.225478	13.350006	20.510492	14.333182	13.558537
CCDC132	3.505017	14.539783	10.354921	10.764333	11.209868
HSPB6	15.2759	8.5479866	5.34048	1.9564633	0.905134
ARHGAP33	2.368568	3.667097	5.0860799	2.301081	4.075689
